ci,mcc,mnc,tac,lat,lon,range
123583434,310,410,33028,36.903192,-111.485966,3288.0
123583248,310,410,33028,-1.0,-1.0,-1.0
133809161,310,410,28170,33.025012,-97.445198,1315.0
133536919,310,410,28170,-1.0,-1.0,-1.0
133740554,310,410,28170,33.036942,-97.414658,1000.0
133740552,310,410,28170,-1.0,-1.0,-1.0
133740553,310,410,28170,-1.0,-1.0,-1.0
133740567,310,410,28170,33.030025,-97.362892,1000.0
135448065,310,410,27194,33.004593,-97.34967,1000.0
135242595,310,410,27173,-1.0,-1.0,-1.0
135242611,310,410,27173,-1.0,-1.0,-1.0
133573656,310,410,27173,33.03311,-97.319618,5126.0
133669783,310,410,27173,33.049023,-97.358329,19891.0
134715405,310,410,27173,-1.0,-1.0,-1.0
133572376,310,410,27173,-1.0,-1.0,-1.0
133189271,310,410,27173,33.030649,-97.320867,7223.0
133189270,310,410,27173,33.026899,-97.300358,4936.0
133572631,310,410,27173,32.999413,-97.288435,8712.0
133572375,310,410,27173,33.044636,-97.452927,1000.0
133189136,310,410,27173,33.019309,-97.291198,7417.0
133189136,310,410,27173,33.019309,-97.291198,7417.0
133189336,310,410,27173,33.02747,-97.290749,1000.0
133189336,310,410,27173,33.02747,-97.290749,1000.0
133189336,310,410,27173,33.02747,-97.290749,1000.0
133189336,310,410,27173,33.02747,-97.290749,1000.0
133189336,310,410,27173,33.02747,-97.290749,1000.0
133548312,310,410,27173,33.010913,-97.285923,8031.0
133548298,310,410,27173,33.011732,-97.287056,15860.0
133189136,310,410,27173,33.019309,-97.291198,7417.0
133572881,310,410,27173,33.02604,-97.271735,6015.0
133548319,310,410,27173,33.016768,-97.288867,10287.0
133548319,310,410,27173,33.016768,-97.288867,10287.0
133189136,310,410,27173,33.019309,-97.291198,7417.0
133572881,310,410,27173,33.02604,-97.271735,6015.0
133548298,310,410,27173,33.011732,-97.287056,15860.0
133548289,310,410,27173,33.028579,-97.272339,9014.0
133548310,310,410,27173,33.036786,-97.264287,7858.0
133572879,310,410,27173,33.046559,-97.255852,1000.0
133573013,310,410,27173,33.001827,-97.298467,5371.0
133550743,310,410,27173,32.992281,-97.20044,12144.0
133517578,310,410,27173,33.028227,-97.296752,6575.0
133517578,310,410,27173,33.028227,-97.296752,6575.0
134715405,310,410,27173,-1.0,-1.0,-1.0
133517577,310,410,27173,33.019087,-97.263604,3505.0
133621000,310,410,27173,-1.0,-1.0,-1.0
135608841,310,410,27173,-1.0,-1.0,-1.0
135608844,310,410,27173,-1.0,-1.0,-1.0
134931007,310,410,27173,32.989221,-97.215529,2541.0
133703434,310,410,27173,32.986647,-97.173218,1378.0
133703433,310,410,27173,32.975774,-97.162526,2275.0
133603850,310,410,27173,32.978046,-97.1709,3612.0
133603849,310,410,27173,32.959697,-97.128718,10180.0
133617423,310,410,27173,32.955644,-97.130371,9372.0
133617423,310,410,27173,32.955644,-97.130371,9372.0
133640208,310,410,27173,32.955891,-97.141223,4787.0
134707729,310,410,27173,32.933961,-97.113753,6434.0
133934041,310,410,27173,32.945927,-97.129539,1000.0
133638103,310,410,27173,32.955149,-97.14313,1637.0
133742358,310,410,27173,32.952292,-97.137485,16648.0
134930035,310,410,27173,32.942814,-97.112473,1000.0
134929983,310,410,27173,34.197487,-101.717079,1000.0
133933840,310,410,27173,32.955695,-97.136374,14093.0
134707727,310,410,27173,32.954263,-97.094237,7526.0
133742849,310,410,27173,32.943204,-97.106644,7080.0
133742857,310,410,27173,32.930719,-97.095634,2355.0
133720842,310,410,27173,32.945031,-97.106547,11851.0
133826570,310,410,27188,32.928154,-97.088762,3043.0
133826569,310,410,27188,32.924239,-97.079884,12462.0
133758730,310,410,27188,32.927873,-97.077738,1000.0
133758729,310,410,27188,32.922952,-97.056045,12121.0
133746186,310,410,27188,32.923447,-97.059842,1426.0
133718529,310,410,27188,32.926758,-97.05427,4592.0
134699023,310,410,27188,32.926024,-97.061814,13748.0
133141264,310,410,27188,32.925496,-97.056882,9047.0
