"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Population Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","rpopden","TimeFrame","GeoVintage","Source","Location"
"Census Tract","47009010400","TN","47009010400","=""47009010400""","257.91","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010500","TN","47009010500","=""47009010500""","2019.44","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010600","TN","47009010600","=""47009010600""","2294.94","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010700","TN","47009010700","=""47009010700""","2515.85","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010800","TN","47009010800","=""47009010800""","3399.48","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009010900","TN","47009010900","=""47009010900""","679.64","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011001","TN","47009011001","=""47009011001""","920.39","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011002","TN","47009011002","=""47009011002""","333.02","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011101","TN","47009011101","=""47009011101""","795.43","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011102","TN","47009011102","=""47009011102""","1764.31","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011201","TN","47009011201","=""47009011201""","1081.52","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011202","TN","47009011202","=""47009011202""","1394.62","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011301","TN","47009011301","=""47009011301""","339.39","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011302","TN","47009011302","=""47009011302""","187.34","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011401","TN","47009011401","=""47009011401""","48.60","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011403","TN","47009011403","=""47009011403""","101.70","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011404","TN","47009011404","=""47009011404""","86.28","2019-2023","2022","Census","Tennessee (State)"
"Census Tract","47009011501","TN","47009011501","=""47009011501""","34.72","2019-2023","2022","Census","Tennessee (State)"
