population_density,rucc,longitude,latitude,altitude,phone_abs_time,num_seen_cells,rsrp,rsrq,rssi,cell_tower_distance
1.0,7.0,-103.57899439420568,35.17263414720224,1202.881415582595,1724263162283.0,7.0,-106,-11,-85,
1.0,7.0,-103.57859908052488,35.17264166765274,1202.854356108145,1724263163285.0,7.0,-101,-13,-67,
1.0,7.0,-103.57859908052488,35.17264166765274,1202.854356108145,1724263163285.0,7.0,-112,-12,-91,
1.0,7.0,-103.57859908052488,35.17264166765274,1202.854356108145,1724263163285.0,7.0,-106,-11,-85,
1.0,7.0,-103.5782022487968,35.17264921698259,1202.8271927223884,1724263164290.0,6.0,-103,-13,-71,
1.0,7.0,-103.5782022487968,35.17264921698259,1202.8271927223884,1724263164290.0,6.0,-114,-15,-87,
1.0,7.0,-103.5782022487968,35.17264921698259,1202.8271927223884,1724263164290.0,6.0,-107,-10,-87,
1.0,7.0,-103.57780808329258,35.17265671559017,1202.8002118413622,1724263165288.0,6.0,-103,-13,-71,
1.0,7.0,-103.57780808329258,35.17265671559017,1202.8002118413622,1724263165288.0,6.0,-114,-15,-87,
1.0,7.0,-103.57780808329258,35.17265671559017,1202.8002118413622,1724263165288.0,6.0,-107,-10,-87,
1.0,7.0,-103.57741236857972,35.172664243669914,1202.7731249160113,1724263166290.0,6.0,-103,-13,-69,
1.0,7.0,-103.57741236857972,35.172664243669914,1202.7731249160113,1724263166290.0,6.0,-115,-15,-91,
1.0,7.0,-103.57741236857972,35.172664243669914,1202.7731249160113,1724263166290.0,6.0,-107,-14,-81,
1.0,7.0,-103.57701697408343,35.17267176565785,1202.7460599096914,1724263167290.0,6.0,-103,-13,-69,
1.0,7.0,-103.57701697408343,35.17267176565785,1202.7460599096914,1724263167290.0,6.0,-115,-15,-91,
1.0,7.0,-103.57701697408343,35.17267176565785,1202.7460599096914,1724263167290.0,6.0,-107,-14,-81,
1.0,7.0,-103.57662131758066,35.17267929263021,1202.718976968857,1724263168294.0,6.0,-100,-12,-69,
1.0,7.0,-103.57662131758066,35.17267929263021,1202.718976968857,1724263168294.0,6.0,-114,-11,-95,
1.0,7.0,-103.57662131758066,35.17267929263021,1202.718976968857,1724263168294.0,6.0,-104,-9,-85,
1.0,7.0,-103.57622813843555,35.172691855654264,1202.7330252328711,1724263169296.0,6.0,-100,-12,-69,
1.0,7.0,-103.57622813843555,35.172691855654264,1202.7330252328711,1724263169296.0,6.0,-114,-11,-95,
1.0,7.0,-103.57622813843555,35.172691855654264,1202.7330252328711,1724263169296.0,6.0,-104,-9,-85,
1.0,7.0,-103.5758374883703,35.17271119507392,1202.8022403264072,1724263170303.0,7.0,-116,-15,-83,
1.0,7.0,-103.5758374883703,35.17271119507392,1202.8022403264072,1724263170303.0,7.0,-122,-16,-95,
1.0,7.0,-103.5758374883703,35.17271119507392,1202.8022403264072,1724263170303.0,7.0,-121,-18,-93,
