"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","chu","TimeFrame","GeoVintage","Source","Location"
"Census Tract","35001000504","NM","35001000504","=""35001000504""","806","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000601","NM","35001000601","=""35001000601""","1931","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000603","NM","35001000603","=""35001000603""","2201","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000605","NM","35001000605","=""35001000605""","1869","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000704","NM","35001000704","=""35001000704""","1742","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000711","NM","35001000711","=""35001000711""","2287","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000712","NM","35001000712","=""35001000712""","1951","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000713","NM","35001000713","=""35001000713""","2812","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000714","NM","35001000714","=""35001000714""","2196","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000715","NM","35001000715","=""35001000715""","830","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000716","NM","35001000716","=""35001000716""","1812","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000717","NM","35001000717","=""35001000717""","1017","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000718","NM","35001000718","=""35001000718""","2199","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000719","NM","35001000719","=""35001000719""","1253","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000720","NM","35001000720","=""35001000720""","2167","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000904","NM","35001000904","=""35001000904""","1877","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000905","NM","35001000905","=""35001000905""","861","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000906","NM","35001000906","=""35001000906""","2560","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000907","NM","35001000907","=""35001000907""","1108","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001000908","NM","35001000908","=""35001000908""","1990","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001001101","NM","35001001101","=""35001001101""","2353","2019-2023","2022","Census","New Mexico (State)"
"Census Tract","35001001102","NM","35001001102","=""35001001102""","1563","2019-2023","2022","Census","New Mexico (State)"
